,,,,,,,
,,,,,,,
,,,,,,,
,COMIDA,TIPO,CARBOHIDRATO,GRASAS,PROTEINAS,CALORIAS,RACION
,Oreo Sabor a Limón (Unidad),Dulce/Golosina/Chucheria,"6,75","1,25","0,5",40,1
,Oreo Tradicional (Unidad),Dulce/Golosina/Chucheria,8,"2,23","0,46",54,1
,Ovomaltina,Dulce/Golosina/Chucheria,21,11,2,190,35
,Paleta Tentación (Cali),Dulce/Golosina/Chucheria,"8,69","2,2",1,57,60
,Pan Integral (Rebanada),Carbohidratos,"12,91","1,18","2,72",73,1
,Pan Pita (D' orlente),Carbohidratos,"63,38","0,15","12,32",304,100
,Panelada Sabor Panela y Limón,Carbohidratos,"3,7",0,0,15,4
,Papa,Carbohidratos,"17,47","0,9","2,02",86,100
,Pasta de Maní Natural (Maní King),Grasas,10,50,26,585,100
,Pasta Linguini (Primor) (Crudo),Carbohidratos,52,"1,5",10,260,100
,Pasta Premium Macarrón (Mary) (Crudo),Carbohidratos,74,0,13,350,100
,Pasta Superior Tornillo (Mary) (Crudo),Carbohidratos,73,0,13,350,100
,Pasta Superior Vermicelli (Mary) (Crudo),Carbohidratos,73,0,13,350,100
,Pasta Tornillos Extra Especial (Primor) (Crudo),Carbohidratos,78,0,11,360,100
,Pasta Vermicelli (Ronco) (Crudo),Carbohidratos,73,0,13,350,100
,Pechuga de pavo,Proteina,0,1,20,89,100
,Pepino,Carbohidratos,3,"0,2","0,7",17,100
,Pepito Original (Frito Lay),Dulce/Golosina/Chucheria,17,6,1,120,25
,Pepitonas en Salsa Picante (Margarita),Proteina,"0,5","0,5",5,30,28
,Pepsi,Bebidas,20,0,0,80,250
,Pescado,Proteina,0,"0,92","17,76",79,100
,Pescado azul (sardinas),Proteina,0,"12,5","22,5",203,100
,Pimiento Rojo,Carbohidratos,6,"0,2",1,30,100
,Pimiento Verde,Carbohidratos,4,"0,1",1,21,100
,Pirulin,Dulce/Golosina/Chucheria,15,4,1,102,21
,Platanitos Natuchips (Frito Lay),Dulce/Golosina/Chucheria,16,5,1,110,22
,Plátano,Carbohidratos,31,"0,2","1,5",132,100
,Pollo,Proteina,0,"7,7","29,5",187,100
,Pringles Salt & Vinegar,Carbohidratos,16,9,1,150,28
,Pudín de Vainilla (Wynco),Carbohidratos,11,0,5,43,12
,Punch (Munchy),Dulce/Golosina/Chucheria,13,9,2,120,25
,Puré de Tomate (Mary),Carbohidratos,"3,6","0,1","1,3",23,100
,Queso cheddar,Grasas,0,20,24,276,100
,Queso Crema (Gaby),Grasas,1,10,2,100,30
,Queso Crema (Muu!),Grasas,2,20,0,189,100
,Queso Crema Original (Kraft),Grasas,1,10,2,100,28
,Queso Ricotta,Grasas,3,5,"4,5",75,50
,Ramen sabor Carne (Renata),Carbohidratos,21,"5,7","2,8",147,33
,Remolacha,Carbohidratos,10,"0,2","1,6",48,100
,Repollo,Carbohidratos,4,"0,1","1,1",21,100
,Rikesa Cheddar,Grasas,4,7,3,90,30
,Ruffles Sabor a Queso (Frito Lay),Dulce/Golosina/Chucheria,11,8,1,120,22
,Salami,Proteina,"0,5",14,7,156,50
,Salchichas Jumbo (Oscar Mayer),Grasas,0,13,10,159,1
,Salmón ahumado,Proteina,0,11,20,179,100
,Salsa 57 (Heinz),Carbohidratos,20,2,2,100,100
,"Salsa para pasta ""Al Vodka"" (O'sole)",Carbohidratos,12,2,3,90,100
,Salsa para Pasta (Underwood),Carbohidratos,12,2,4,80,60
,Samba Sabor a Chocolate (Savoy),Dulce/Golosina/Chucheria,19,8,2,160,32
,Sardinas en Salsa de Tomate (Margarita),Proteina,0,4,15,100,60
,Sirope de Chocolate (Hershey's),Dulce/Golosina/Chucheria,12,0,0,45,19
,Sorbeticos Sabor a Vainilla (Unidad),Dulce/Golosina/Chucheria,6,"1,6","0,3",40,1
,Speed Max (Lata),Carbohidratos,13,0,0,52,1
,Susy (Choco 2) (Unidad),Dulce/Golosina/Chucheria,14,6,1,120,1
,Té de Durazno (Tas-Tea),Bebidas,10,0,0,40,100
,Té de Limón (Lipton),Bebidas,16,0,0,70,250
,Té Flor de Jamaica (Tas-Tea),Bebidas,10,0,"0,4",60,100
,Té Sabor a Limón (Nestea),Bebidas Azucaradas,88,0,0,360,90
,Tocinetika Picante (Munchy),Dulce/Golosina/Chucheria,59,23,9,480,100
,Toddy,Carbohidratos,27,0,2,120,30
,Tofu,Proteina,"1,9","4,8",8,83,100
,Tomate,Carbohidratos,4,"0,2","0,9",21,100
,Tomato Ketchup (Heinz),Carbohidratos,30,0,2,130,100
,Tomato Ketchup sin Azúcar (Heinz),Carbohidratos,6,0,2,35,100
,Tostitos Original (Frito Lay),Carbohidratos,27,8,3,200,40
,Tostones (Don José),Dulce/Golosina/Chucheria,21,7,1,151,90
,Yogurt Firme Natural (Todo Sano),Carbohidratos,"6,3","0,62","4,3",46,100
,Yogurt Griego,Proteina,"3,6",2,"9,9",72,100
,Yogurt Griego Artesanal (Yogurt Boom),Proteina,7,9,16,110,160
,Yuca,Carbohidratos,38,"0,4","1,4",161,100
,Zanahoria,Carbohidratos,10,"0,2","0,9",45,100
,Zucaritas (Kellogg's),Carbohidratos,91,0,4,380,100
,Zuquini,Carbohidratos,"3,35","0,18","1,21",20,100
,Tortillas 100% integrales (Crustissimo) (Unidad),Carbohidratos,14,0,3,70,1
,Toronto (Unidad),Dulce/Golosina/Chucheria,5,3,1,50,1
,Nucita,Dulce/Golosina/Chucheria,15,5,1,107,10
,Salchichas Wieners (Oscar Mayer),Grasas,0,7,5,84,1
,Chorifrito (Plumrose),Proteina,0,9,14,141,1
,Rica Chica (Nestle),Carbohidratos,24,0,"0,9",100,27
,Pilos (Sabor a Coco) (Naturicos),Dulce/Golosina/Chucheria,22,"3,2","2,3",130,30
,Galletas de Soda (Premium),Carbohidratos,"6,6","0,6","0,6",37,1
,Harina P.A.N Integral,Carbohidratos,38,3,9,370,100
,Queso mozzarella (Rebanada),,"1,09","5,68","7,36",86,1
,Aceite de Oliva Virgen Extra (Frescarini),Grasas,0,100,0,900,100
,Hydrolized Whey Protein Isolate (MTU Brand),Proteina,1,0,25,110,31
