MUSCULO,EJERCICIO,LINK
TRÍCEPS,EXTENSIÓN GUILLOTINA,EJEMPLO
CALENTAMIENTO,CALENTAMIENTO (BISAGRA DE CADERA),EJEMPLO
CALENTAMIENTO,CALENTAMIENTO (ABDUCCIÓN DE HOMBRO),EJEMPLO
CARDIO,CAMINADORA,
CALENTAMIENTO,CALENTAMIENTO (ABDUCCIÓN HORIZONTAL DE HOMBRO),EJEMPLO
CALENTAMIENTO,SENTADILLA SIN PESO,EJEMPLO
EN CASA,PULL OVER CON MANCUERNA,EJEMPLO
ABDOMEN,TOQUES AL TALÓN,EJEMPLO
EN CASA,CALENTAMIENTO (FLEXIÓN Y EXTENSIÓN DE RODILLA SENTADO),EJEMPLO
CUADRICEPS,SENTADILLA CON MOCHILA ,EJEMPLO
ADUCTORES,ZANCADAS LATERALES,EJEMPLO
EN CASA,PESO MUERTO SIN PESO,EJEMPLO
EN CASA,FLEXIONES CON APOYO EN LA PARED ,EJEMPLO
EN CASA,EMPUJE DE CODO CONTRA EL SUELO,EJEMPLO
EN CASA,CURL DE BÍCEPS CON MOCHILA,EJEMPLO
Yoga,ESTIRAMIENTO DE YOGA PARA ISQUIOSURAL,
ABDOMEN,FLEXIÓN DE CADERA,EJEMPLO
EN CASA,FLEXIÓN PLANTAR,EJEMPLO
CALENTAMIENTO,CALENTAMIENTO (EXTENSIÓN DE TRÍCEPS EN POLEA),EJEMPLO
,SALTO DE CUERDA,
TERAPIA,SHORT FOOT,
TRÍCEPS,EXTENSIÓN DE TRÍCEPS UNILATERAL 2.0,EJEMPLO
DELTOIDES,POSTERIOR EN POLEA 2.0,EJEMPLO
DORSAL,PULL DOWN CON AGARRE AMPLIO,EJEMPLO
GLÚTEOS,PUENTE DE GLÚTEOS,EJEMPLO
EN CASA,REMO UNILATERAL CON MOCHILA,EJEMPLO
EN CASA,CHEST PRESS (CON BANDA ELÁSTICA),EJEMPLO
EN CASA,REMO SENTADO (CON BANDA ELÁSTICA),EJEMPLO
EN CASA,ELEVACIONES LATERALES (CON BANDA ELÁSTICA),EJEMPLO
EN CASA,EXTENSIÓN DE TRÍCEPS (CON BANDA ELÁSTICA),EJEMPLO
EN CASA,CURL DE BÍCEPS (CON BANDA ELÁSTICA),EJEMPLO
PECTORAL,FLEXIONES EN BANCO,EJEMPLO
PECTORAL,PRESS PLANO CON MANCUERNAS,EJEMPLO
EN CASA,PATADA DE TRÍCEPS (CON BANDA ELÁSTICA),EJEMPLO
EN CASA,BIRD-DOG,EJEMPLO
BÍCEPS,CURL BAYESIAN BILATERAL,EJEMPLO
,SENTADILLA SUMO,EJEMPLO
EN CASA,PRESS FRANCÉS CON PESO,EJEMPLO
